,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,movie id,movie title,release date,video release date,IMDb URL,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Summary,Cast,Director,Rating,Runtime,No. of ratings,YT-Trailer ID
0,0,0,0,1,Toy Story (1995),01-Jan-95,,https://www.imdb.com/title/tt0114709/,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"A little boy named Andy loves to be in his room, playing with his toys, especially his doll named ""Woody"". But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips. —John Wiggins",Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn,John Lasseter,8.3,81.0,930K,mGXHH9iAfLA
1,1,1,1,2,GoldenEye (1995),01-Jan-95,,https://www.imdb.com/title/tt0113189/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"When a deadly satellite weapon system falls into the wrong hands, only Agent James Bond 007 (Pierce Brosnan) can save the world from certain disaster. Armed with his licence to kill, Bond races to Russia in search of the stolen access codes for ""GoldenEye"", an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia Onatopp (Famke Janssen), an assassin who uses pleasure as her ultimate weapon. —Robert Lynch <docrlynch@yahoo.com>",Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker,Martin Campbell,7.2,130.0,248K,IWFtzQOX_nY
2,2,2,2,3,Four Rooms (1995),01-Jan-95,,https://www.imdb.com/title/tt0113101/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"This movie features the collaborative directorial efforts of four new filmmakers, each of whom directs a segment of this comedy. It's New Year's Eve at the Mon Signor Hotel, a former grand old Hollywood hotel, now fallen upon hard times. Often using physical comedy and sight gags, this movie chronicles the slapstick misadventures of Ted, the Bellhop. He's on his first night on the job, when he's asked to help out a coven of witches in the Honeymoon Suite. Things only get worse when he delivers ice to the wrong room and ends up in a domestic argument at a really bad time. Next, he foolishly agrees to watch a gangster's kids for him while he's away. Finally, he finishes off the night refereeing a ghastly wager. —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",Sammi Davis|Amanda De Cadenet|Valeria Golino|Madonna|Ione Skye,Allison Anders,6.8,98.0,102K,hugpRyTc1fE
3,3,3,3,4,Get Shorty (1995),01-Jan-95,,https://www.imdb.com/title/tt0113161/,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Some guys get all the luck, whether they like it or not. Chili Palmer happens to be in Hollywood collecting a gambling debt when he's struck by lightning (not literally). Called a natural for the movie business, he's snagged up by a producer. The rest is history. —Joshua Davis <xtnb64a@prodigy.com>",John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina,Barry Sonnenfeld,6.9,105.0,81K,yvsnu3crV8g
4,4,4,4,5,Copycat (1995),01-Jan-95,,https://www.imdb.com/title/tt0112722/,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,"In San Francisco, the criminal psychologist Helen Hudson is specialized in serial-killers. During a trial, the accused Daryll Lee Cullum kills a police officer and tries to kill her and she becomes agoraphobic. Now Helen lives a reclusive life with her gay friend Andy that helps her. Sometime later, there is a wave of crimes and Detectives M.J. Monahan and Reuben Goetz are investigating the murder cases. Helen identifies that the murderer is copycatting notorious serial-killers and she anonymously contacts the Police Department. After fourteen phone calls, she is identified by the police. Detectives M.J. and Reuben visit her and Helen teams up with them and prepares the profile of the killer that wants to be famous. But soon the copycat killer Peter Foley contacts and stalks Helen and M.J. and Reuben give protection to her. Will they be capable to stop Foley before the next murder? —Claudio Carvalho, Rio de Janeiro, Brazil",Sigourney Weaver|Holly Hunter|Dermot Mulroney|William McNamara|Harry Connick Jr.,Jon Amiel,6.6,123.0,57K,gMrMLbxEt5Y
5,5,5,5,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),01-Jan-95,,http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,LzwDdFDNyG8
6,6,6,6,7,Twelve Monkeys (1995),01-Jan-95,,http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,#NAME?
7,7,7,7,8,Babe (1995),01-Jan-95,,https://www.imdb.com/title/tt0112431/,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Gentle farmer Arthur Hoggett wins a piglet named Babe at a county fair. Narrowly escaping his fate as Christmas dinner when Farmer Hoggett decides to show him at the next fair, Babe bonds with motherly border collie Fly and discovers that he can herd sheep too. But will the other farm animals, including Fly's jealous husband, Rex, accept a pig who doesn't conform to the farm's social hierarchy? —Jwelch5742",Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn,Chris Noonan,6.8,91.0,121K,19WX3hTMOEQ
8,8,8,8,9,Dead Man Walking (1995),01-Jan-95,,https://www.imdb.com/title/tt0112818/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"A convicted murderer on Death Row and the nun who befriends him. Through the portrayal of finely drawn characters and their interactions as the days, hours, and minutes tick down to the condemned man's execution, powerful emotions are unleashed. While Matthew Poncelet and Sister Prejean desperately try to gain a stay of execution from the governor or the courts, scenes are intercut from the brutal crime, gradually revealing the truth about the events that transpired. In addition to her temporal help, the nun also tries to reach out spiritually and assist as a guide to salvation. —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey,Tim Robbins,7.5,122.0,92K,ZRELHr2g2Uo
9,9,9,9,10,Richard III (1995),22-Jan-96,,https://www.imdb.com/title/tt0114279/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"William Shakespeare's classic play is brought into the present with the setting as Great Britian in the 1930s. Civil war has erupted with the House of Lancaster on one side, claiming the right to the British throne and hoping to bring freedom to the country. Opposing is the House of York, commanded by the infamous Richard III (Sir Ian McKellen), who rules over a fascist government and hopes to install himself as a dictator monarch. —Anthony Hughes <husnock31@hotmail.com>",Christopher Bowen|Edward Jewesbury|Ian McKellen|Bill Paterson|Annette Bening,Richard Loncraine,7.4,110.0,14K,oZQAQSFsUgM
